"betis","1","2","13","7","9","6"
"alaves","0","0","10","20","19","19"
"valencia","1","0","13","2","2","2"
"getafe","1","2","14","10","12","11"
"eibar","0","0","13","15","17","17"
"girona","1","0","15","12","10","11"
"palmas","0","1","16","20","18","19"
"atletico","1","2","16","2","3","3"
"malaga","0","2","15","19","19","19"
"athletic","1","1","14","8","12","14"
"sevilla","1","0","14","6","5","5"
"leganes","0","0","14","13","13","9"
"barcelona","1","1","14","1","1","1"
"celta","0","1","15","8","7","7"
"villarreal","1","1","15","5","5","5"
"deportivo","0","1","16","19","19","18"
"madrid","1","2","15","3","3","3"
"levante","0","1","13","17","17","17"
"sociedad","1","2","15","12","15","14"
"betis","0","0","13","8","10","9"
"alaves","1","1","14","16","16","16"
"valencia","0","0","13","4","4","4"
"getafe","0","0","15","11","11","9"
"eibar","1","0","16","12","10","10"
"girona","0","2","16","8","8","8"
"palmas","1","1","16","19","19","19"
"atletico","0","2","15","2","2","2"
"malaga","1","2","15","20","20","20"
"athletic","0","2","14","16","14","14"
"getafe","0","0","0","0","0","0"
"barcelona","1","0","0","0","0","0"
"betis","1","0","0","0","0","0"
"atletico","0","0","7","10","9","10"
"leganes","1","2","4","20","19","12"
"sociedad","0","0","9","10","13","8"
"eibar","0","0","6","14","12","15"
"madrid","1","0","7","2","2","2"
"villarreal","0","1","5","16","12","9"
"rayo","1","2","2","19","19","18"
"valencia","0","1","5","14","14","14"
"huesca","1","1","2","20","20","20"
"valladolid","1","2","5","7","9","6"
"athletic","0","1","5","18","17","17"
"sevilla","1","0","8","2","1","2"
